Total_Items,Time_Spent_ in Course,Total_Logins,Activity_inside_content_ area,User_Activity_in_Goup,Nbre_of_clics,Nbre_of_ message_ participation,join_session,Time_Spent_on_Session_Attendence,Level
0.38961039,0.088604353,0.143979058,0.165745856,0.178861789,0.259259259,0,0.555555556,0.733333333,NE
0.402597403,0.490909091,0.102094241,0.108655617,0.081300813,0.148148148,0,0.666666667,0.666666667,NE
0.636363636,0.305505762,0.219895288,0.309392265,0.406504065,0.37037037,0.444444444,0.888888889,0.4,PE
0.168831169,0.211267606,0.07591623,0.101289134,0.024390244,0.333333333,0.222222222,0.777777778,0.733333333,NE
0.246753247,0.01049936,0.09947644,0.149171271,0.016260163,0.481481481,0.444444444,0.555555556,0.733333333,PE
0.376623377,0.280665813,0.30104712,0.462246777,0.260162602,0.777777778,0.777777778,0.888888889,0.333333333,PE
0.506493506,0.332138284,0.696335079,0.620626151,0.422764228,0.851851852,0.333333333,1,0.2,AE
0.636363636,0.316517286,0.858638743,0.67587477,0.617886179,0.814814815,0.888888889,1,0.6,AE
0.753246753,0.385403329,0.72513089,0.626151013,0.455284553,0.925925926,0.111111111,1,1,AE
0.805194805,0.463252241,0.90052356,0.874769797,0.780487805,0.962962963,1,0.888888889,0.333333333,AE
0.61038961,0.359026889,0.204188482,0.329650092,0.796747967,0.444444444,0.666666667,0.777777778,0.2,PE
0.194805195,0.259411012,0.09947644,0.162062615,0.691056911,0.37037037,0.222222222,0.555555556,0.6,PE
0.194805195,0.259411012,0.09947644,0.162062615,0.691056911,0.37037037,0.222222222,0.555555556,0.6,PE
0.220779221,0.110371319,0.07591623,0.189686924,0.341463415,0.333333333,0.111111111,0.111111111,1,NE
0.298701299,0.05659411,0.078534031,0.108655617,0.520325203,0.444444444,0.666666667,0.777777778,0.6,PE
0.415584416,0.108578745,0.259162304,0.484346225,0.74796748,0.62962963,0.444444444,1,0.533333333,PE
0.493506494,0.494494238,0.311518325,0.421731123,0.650406504,0.740740741,0.777777778,0.777777778,0.6,AE
0.493506494,0.494494238,0.311518325,0.421731123,0.650406504,0.740740741,0.777777778,0.777777778,0.6,AE
0.597402597,0.437387964,0.594240838,0.607734807,0.804878049,0.888888889,0.888888889,0.888888889,0.666666667,AE
0.116883117,0.053008963,0.073298429,0.071823204,0.219512195,0.296296296,0.333333333,0.333333333,0.4,NE
0.090909091,0,0.054973822,0.081031308,0.308943089,0.259259259,0,0.555555556,0.733333333,NE
0.090909091,0,0.054973822,0.081031308,0.308943089,0.259259259,0,0.555555556,0.733333333,NE
0.311688312,0.281946223,0.083769634,0.08839779,0.414634146,0.148148148,0,0.111111111,0.666666667,NE
0.571428571,0.310371319,0.358638743,0.451197053,0.162601626,0.925925926,0.666666667,0.777777778,0.4,PE
0.857142857,0.358002561,0.667539267,0.668508287,0.87804878,1,0.777777778,0.888888889,0.733333333,AE
0.337662338,0.036107554,0.170157068,0.119705341,0.130081301,0.37037037,0.333333333,0.666666667,0.666666667,PE
0.337662338,0.036107554,0.170157068,0.119705341,0.130081301,0.37037037,0.333333333,0.666666667,0.666666667,PE
0.467532468,0.282714469,0.196335079,0.232044199,0.398373984,0.444444444,0,0.555555556,0.4,PE
0.493506494,0.181818182,0.227748691,0.47145488,0.975609756,0.444444444,0.555555556,0.444444444,0.733333333,PE
0.194805195,0.181818182,0.102094241,0.14732965,0.723577236,0.444444444,0,0.222222222,0.733333333,PE
0.194805195,0.254289373,0.102094241,0.14732965,0.723577236,0.407407407,0,0.222222222,0.666666667,PE
0.311688312,0.309603073,0.138743455,0.366482505,0.609756098,0.592592593,0.666666667,0.777777778,0.4,PE
0.701298701,0.233034571,0.486910995,0.50092081,0.967479675,0.925925926,0.666666667,0.777777778,0.333333333,AE
0.831168831,0.385915493,0.204188482,0.267034991,0.162601626,0.481481481,0.777777778,1,0.466666667,AE
0.571428571,0.463508323,0.172774869,0.160220994,0.113821138,0.555555556,0.555555556,0.444444444,0.733333333,AE
0.701298701,0.233034571,0.486910995,0.50092081,0.967479675,0.925925926,0.666666667,0.777777778,0.333333333,AE
0.051948052,0.187195903,0,0.007366483,0.048780488,0,0,0.111111111,0,NE
0.831168831,0.385915493,0.204188482,0.267034991,0.162601626,0.481481481,0.777777778,1,0.466666667,PE
0.831168831,0.385915493,0.204188482,0.267034991,0.162601626,0.481481481,0.777777778,1,0.466666667,PE
0.116883117,0.032522407,0.057591623,0.046040516,0.032520325,0.259259259,0,0.444444444,0.2,NE
0.792207792,0.258898848,1,1,0.975609756,0.777777778,0.888888889,1,0,AE
0.051948052,0.187195903,0,0.007366483,0.048780488,0,0,0.111111111,0,NE
